,QuestionID,ReferenceAnswer,StudentAnswer,Score1,Score2,avg_score,max_score
68,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A function is block of code that performs a specific task,4,4,4.0,4
69,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A section of code that performs specific task is known as function,5,4,4.5,5
70,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Block of code perform a specific task,4,4,4.0,4
71,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function is a block of code. It contains code for particular function . These are very useful for complex problems ,4,4,4.0,4
72,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,"Function is a group of code , we must call the function before use and we can use that group of code whenever it's required by using function name . ",4,4,4.0,4
73,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function is a group of code that performs specific task.,4,4,4.0,4
74,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function is a set of statements in a block to achieve a specific outcome. A program can be divided into modules using functions. Functions enhance reusability of code,4,4,4.0,4
75,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function is used to perform a particular task for many times by just calling it and without creating it every time,5,4,4.5,5
76,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,It is a block of code which can be reused,4,4,4.0,4
77,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,It is a block of code which can be used repeatedly whenever we need by calling it. ,4,4,4.0,4
78,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Set of instructions defined that can be used when ever they are needed in a program which means code reusability,3,4,3.5,4
79,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Set of instructions or statements which can reusable.,5,4,4.5,5
80,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,The use of function is it executes a set of statements. It has the advantage of Reusability of code. ,3,4,3.5,4
81,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A block of code that can used over and over again with different values.,4,5,4.5,5
82,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,"A function is a block of code written in python which is  reusable as many times .
It can defined by keyword 
def function_name(argu):",5,5,5.0,5
83,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,"A function is a block of organized, reusable code that is used to perform a single task.",5,5,5.0,5
84,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A function is block of instructions used to perform specific operation.,5,5,5.0,5
85,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A function performs a specific and well defined task,4,5,4.5,5
86,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,function contains set of instructionss which does a particular task,5,5,5.0,5
87,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function is used to perform specific task.,4,5,4.5,5
88,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Functions are the set of instructions together to produce a specified output.Function produce code reusability.we can use the code again and again.,4,5,4.5,5
89,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,It is a block of code performs certain task,4,5,4.5,5
90,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,It is a reusable block of code that performs a specific task ,5,5,5.0,5
91,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List consume more money...
Tuple consume less memory as compared to list",1,1,1.0,1
92,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,We use square brackets for list and rpund brackets for tuples,1,1,1.0,1
93,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,Lists are mutable while tuple can't.lists contain multiple built in functions where as tuple contain few.,4,2,3.0,4
94,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"Mutable and immutable
[ ] and ( ) ",2,2,2.0,2
95,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List can be mutable but tuple can not mutable,3,3,3.0,3
96,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is a mutable and ordered structure data, where as tuple is immutable and ordered data",3,3,3.0,3
97,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,Elements of list can be changed where as tuples can not be changed ,4,4,4.0,4
98,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable and tuple is immutable,3,4,3.5,4
99,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable and tuple is immutable,4,4,4.0,4
100,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable and tuple is immutable,4,4,4.0,4
101,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable and tuple is immutable,4,4,4.0,4
102,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable and tuple is immutable,4,4,4.0,4
103,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable data structure Whereas tuple is immutable,4,4,4.0,4
104,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable where as tuple is immutable ,4,4,4.0,4
105,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable whereas Tuple is immutable,3,4,3.5,4
106,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,list is mutable whereas tuple is immutable,4,4,4.0,4
107,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable whereas tuple is immutable,4,4,4.0,4
108,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,list is mutable whereas tuple is immutable,4,4,4.0,4
109,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable whereas tuple is immutable ,4,4,4.0,4
110,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable whereas tuple is not.,3,4,3.5,4
111,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is ordered and mutable. Set is unordered and immutable.,4,4,4.0,4
112,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,Lists are mutable and tuple is immutable.,4,4,4.0,4
113,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,Lists are mutable but tuples are immutable,3,4,3.5,4
114,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,lists are mutable tuples are immutable,4,4,4.0,4
115,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,Lists are mutable whereas tuples are immutable,4,4,4.0,4
116,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"Lists are mutable
Tuples are immutable",4,4,4.0,4
117,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"1.List are mutable where as tuples are imutable
2.Tuple consume less memory where as list consume more memory
3.list are represented by [] where as tuples are represented by ()",5,5,5.0,5
118,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"A list is a mutable collection of elements
A tuple is immutable collection of elements",5,5,5.0,5
119,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List are mutable and denoted by square brackets []and tuple are  immutable and denoted by brackets () . ,5,5,5.0,5
120,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List elements are mutable but tuple elements are immutable
Lists occupy more space and memory than tuples",5,5,5.0,5
121,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List in python is an mutable python data structure and used to store multiple data types in an identifier.
Tuple in python is immutable python data structure same as like list except mutability.
And the main difference between them is tuple is faster than list to access elements inside because of continuous storage in memory unlike in list.",5,5,5.0,5
122,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is a bulit in function
Tuple is also a bulit in function

List is mutable
Tuple is immutable

List allows duplicates
Tuple allows duplicates


Ex:(1,2,3)
Ex:[1,2,3]",5,5,5.0,5
123,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is a mutable data structure, whereas tuple is an immutable data structure. 
Usually  the predefined methods return a new object when performed on a tuple, it cannot be changed inplace. 
Example: We cannot perform sort on a tuple as the sort method changes the object in place, and a tuple is immutable. 
Sorted can be performed as it returns a new value.",5,5,5.0,5
124,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is a sequence of values which are enclosed in square brackets. Lists are mutable and heterogeneous.
Tuples are a sequence of values which are homogeneous and immutable. The values are enclosed in square brackets",5,5,5.0,5
125,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is mutable . Tuples are immutable.
Lists have more built-in functions compared to tuples.
Tuples works faster than lists
Tuples are represented with ()
Lists are represented with []",5,5,5.0,5
126,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is mutable and it is represented using square brackets [ ]
Tuple is immutable and it is represented using ()",5,5,5.0,5
127,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is mutable and tuple is immutable
List can take much memory to store and tuple can take less memory to store ",5,5,5.0,5
128,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is mutable and tuple is immutable
List consumes more memory .tuple consumes more memory
Itertaion takes more time in list
Itertaion takes more fast in tuple",5,5,5.0,5
129,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable and tuple is immutable. Both are ordered collection of elements,5,5,5.0,5
130,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List is mutable object i.e., changeable where as tuples are immutable can't be changed. Tuples occupy less memory when compared to lists. Occurence of errors in tuples is rare.",5,5,5.0,5
131,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable whereas tuple is immutable.list needs more memory but tuples need less memory comparitively.,5,5,5.0,5
132,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,List is mutable while tuple is immutable. We can add or remove items from lists but we can not apply those operations on tuple. Tuples are faster compared to lists. Tuples have fixed length while lists do not have fixed length. ,5,5,5.0,5
133,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"List: 1) mutable
         2) require  more memory
         3) can perform many operations and 
             methods
         4) represented by [ ]
Tuple:1) immutable
           2) require less memory
           3) can perform only few operations 
             because they are immutable
           4) represented by ()",5,5,5.0,5
134,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"Lists are mutable, tuples are immutable lists are represented by square brackets, tuples are represented by open brackets",5,5,5.0,5
135,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,Lists are the comma separated values with square brackets and tuples are comma separated values with round brackets.lists are mutable i.e we can change the content when ever necessary and tuples are immutable which means that the content cannot be changed once created.list consume more memory and tuple consume less memory.list objects cannot be used as keys for dictionaries and tuple objects are used as keys for dictionaries.,4,5,4.5,5
136,PythonQ003,List and tuple differ in mutability. List is mutable where as tuple is immutable ,"Lists is mutable whereas tuples is immutable
Lists has many inbuilt functions compared to tuples
Lists is ordered and tuples is unordered
Lists is memory allocation is fast compared to tuples
List has large size compared to tuples

",5,5,5.0,5
137,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,change in value of local variable doesn't effect global variable,1,0,0.5,1
138,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Local are written outside  function , global are written inside function",0,0,0.0,0
139,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Globe varible can use entire program but globle varible can use that block only,3,1,2.0,3
140,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable works upto particular time but gobal variable used globally,1,1,1.0,1
141,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable only declares inside the function but global variable declares outside the function,3,2,2.5,3
142,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"We can access Global variable at out side and inside the class also
But local variable can accessed only inside the class",3,2,2.5,3
143,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Global variables are variables declared our side a function
Local variable are variable declared inside a function",4,3,3.5,4
144,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Global variables are variables declared outside a function and local variables declared inside a function.,4,3,3.5,4
145,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Global variables can be accessed throughout the entire program whereas local variable can be accessed in the specified function,4,3,3.5,4
146,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,In local variables only within the function only we can access that variable which we have declared and in the case of global variable we can access it wherever it is necessary,4,3,3.5,4
147,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local is declared inside the function whereas global is declared outside the function,4,3,3.5,4
148,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Local variable can access inside the function
Global variable can accsss through out the code ",4,3,3.5,4
149,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable can be accessed only inside the function while global variable can be accessed both outside and inside the function. But if we want to access global variable inside the function it's important to access that variable using global keyword. ,4,3,3.5,4
150,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable can be defined particular in that block only . Global variable can we use anywhere in the program ,3,3,3.0,3
151,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable can be referred only with in particular class. Global variables can be used everywhere,4,3,3.5,4
152,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable can only accesible within the function whereas global variable can accesible any where in the function,4,3,3.5,4
153,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable cannot be used outside a function whereas Global variable can be used all over the executable code. ,4,3,3.5,4
154,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"The local variables can be used only for that particular function
Where as the global variables can be used any where in the program",4,3,3.5,4
155,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"A local variable is declared inside a functi
on 
A global variable is declared outside a function",3,4,3.5,4
156,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Global variable can be accessed in entire program
But local variable can be accessed in function only",4,4,4.0,4
157,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Global variable defined in main body of the program that is inside or outside the function.
Local variable defined in inside the function.",5,4,4.5,5
158,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Locai variable is accessible only with in  block of code , after that block life time of local variable is over , where as global variables is variable that is accessible through out the complete programs. ",5,4,4.5,5
159,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local is should in that specified function but global variable can be used in any part of the code that we want,4,4,4.0,4
160,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Local variable access within the function
Global variable access in the entire program",5,4,4.5,5
161,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable can only be accessed only inside a function.global variable can be accessed from outside and inside the function that is defined.,4,4,4.0,4
162,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,local variable is accecced by certain function in which variable is declares whereas global variable is accecced by whole program,4,4,4.0,4
163,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable is accessed only by a certain block of code global variable can be accessed by entire code.,4,4,4.0,4
164,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable is applicable only in the function it belongs to where as global variable is applicable for the whole code.,4,4,4.0,4
165,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable is used till the block terminates whereas Global variable is used till the program execution is completed,5,4,4.5,5
166,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable which is available to total class global variable is available within a function in class.,3,4,3.5,4
167,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variables are present inside the function where as global variables are present outside the function. Global variables can be used in any function throughout a python file. Local variables used only inside the fuction.,5,4,4.5,5
168,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Local variables are the variables created inside the function or the variables which are created inside the function as a Default arguments.

Global variables are the variables which are created outside of all the functions.",5,4,4.5,5
169,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variables are written inside function block and it is valid for upto end of the function block. And global variables are written in outside of the function block . These are valid for entire code of the programme,5,4,4.5,5
170,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variables can used only within a function in a program but global variables can used anywhere within a program,4,4,4.0,4
171,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"The  difference between Global and local variables is that global variables can be accessed globally in the entire program, whereas local variables can be accessed only within the function or block in which they are defined.",5,4,4.5,5
172,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Variable which performs or works in certain function (or) method those variable is called local variables. Variable which acess in entire code or program those variables know as global variables.,3,4,3.5,4
173,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Variables defined within a function are local whereas Variables defined outside all the function are global,4,4,4.0,4
174,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Global variables are variables whose scope is everywhere in the program and has a life time upto the end of the execution of the program
In functions we can access global variables through a keyword global
Local variables are variables whose scope is just in the function where it was declared and has life time upto the execution of the program in function.
Global variables are variables stored in main memory and local variables are stored just in memory which is allocated to the function where they were declared .",5,5,5.0,5
175,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,local variable can be accessible only inside the function whereas Global variable can be accessible from anywhere in the code.,5,5,5.0,5
176,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,Local variable is declared inside a function whereas global variable is declared outside a function.  Local variable can be accessed only inside the function in which it is declared.  Whereas global variable can be accessed anywhere in the program ,5,5,5.0,5
177,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Local variable is mutable(defined or changed inside a function body)
Global variable is immutable(defined outside a body/function)",5,5,5.0,5
178,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,"Local variables are those which are inside the function as well global variables are variables which are out side the function. Local variables are destroyed after calling the function i.e., can't be accessed outside the function. Global variables can be used in any function throughout a python file.",5,5,5.0,5
179,PythonQ004,Local and global variable differ scope. The scope of a local variable is restricted to a block in which it is initialised where as the scope of a global variable is extended to the entire program.,The main difference in global variables can access globally where local variables can only accessible in a particular block of function where they defined,4,5,4.5,5
