QuestionID,QuestionText,QuestionType,Reference Answer
BasicML009,Differentiate exploratory and explanatory analysis?,Difference,"Exploratory analysis is done while searching for insights and used to find the answer to many questions. Explanatory analysis is performed to provide the accurate, insightful and visually appealing results to others."
BasicML010,How to delete a column of a DataFrame using Pandas library?,Explain,The drop() method of pandas DataFrame removes the specified column.
BasicML011,"Differentiate Univariate, Bivariate, and multivariate plot.",Difference,"Univariate plots visualize only one variable at a time, Bivariate plots can visualize and compare two variables and Multivariate plots can visualize more than two variables."
BasicML013,How to read a csv file using Pandas?,Explain,"read_csv() method of pandas library is used to read csv files.
eg: pd.read_csv(""filename.csv"")"
BasicML014,name few classification algorithms?,Remember,"The most popular classification algorithms are Logistic Regression, Naive Bayes, K-Nearest Neighbors, Decision Tree, Support Vector Machines. "
BasicML015,What are the features of Pandas Library?,Explain,"Python Pandas library provides a really fast and efficient way to manage and explore data. Pandas can be used to handle missing data, cleaning up data, indexing, merging and joining of datasets etc."
BasicML016,What can be learned from a Scatter plot?,Explain,"Scatter plots are used to observe and show the relationship between two numeric variables, and for identifying other patterns in data. Scatter plots helps to identify the positive or negative, strong or weak, linear or non-linear relationships."
BasicML017,What is meant by an outlier?,Explain,An outlier is an observation that lies an abnormal distance from other values in the dataset. These values are generally removed from the mass of the data.
BasicML018,What is meant by Exploratory Data Analysis?,Define,"Exploratory Data Analysis (EDA) is used to analyze, investigate and summarize main characteristics of the dataset by employing data visualizaton methods. It is used to discover the trends, patterns, or to check assumptions in the data."
BasicML019,What is meant by Supervised Learning?,Define,Supervised learning is a type of machine learning. It is defined by its use of labeled datasets to train algorithms to classify data or predict outcomes accurately. 
BasicML020,What is the difference between binary classification and multiclass classification?,Difference,"Classifying the examples which are assigned exactly one of two classes is called Binary Classification.
Classifying the examples which are assigned exactly one of more than two classes is called Multiclass Classification."
BasicML021,What is the difference between Quantitative and Qualitative data?,Difference,"Quantitative data refers to the information that can be quantified, counted, or measured and given a numerical value. for eg: The number of students in a class.
Qualitative data is descriptive in nature, expressed in terms of language rather than numerical values for eg: The native language of a person."
BasicML022,How to calculate precision?,Explain,Precision quantifies the number of positive class predictions that actually belong to the positive class. It is calculated as the number of true positives divided by the total number of true positives and false positives.
BasicML023,What are the advantages of NumPy library?,Explain,"The NumPy arrays have advantages like Multi-dimensional Slicing, Broadcasting Functionality, processing speed, vectorized operaions, memory footprint and it has many convenience methods."
BasicML024,What is meant by Classification?,Define,Classification is a supervised learning approach in which the computer program learns from the data given to it and make new observations or classifications.
BasicML025,What is meant by cross-validation?,Define,"Cross Validation is a statistical method of evaluating and comparing learning algorithms by dividing data into two segments. One segment is used to learn or train a model and the other is used to validate the model."
BasicML026,What is meant by the accuracy of a model?,Explain,Accuracy is an evalution metric for classfication models. It can be defined as the number of classfications a model correctly predicts divided by the total number of predictions made.
BasicML027,What is meant by Unsupervised Learning?,Define,"Unsupervised learning used machine learning algorithms to analyze and cluser unlabeled datasets. These algorithms discover hidden patterns or data groupings without the need for human intervention. Common unsupervised learning approaches are clustering, dimensionality reduction and it can applied in Computer Vision, Medical Imaging, Recommendation Engines etc."
BasicML028,What is NumPy?,Define,"Numpy is a library for the Python programming language. It is a fundamental package for scientific computing. It adds support for large, multi-dimensinal arrays and matrices, along with a large collection of high-level mathematical functions to operate on these arrays."
BasicML029,What is the difference between Discrete and Continuous data?,Difference,"Quantitative data is sub classified as discrete and continuous data. Discrete data contains finite values that have nothing in-between. It can take only distinct or separate values. Continuous data contains data that can be measured, that includes fractions and decimals.
Discrete data is Countable, where as Continuous data is measurable."
BasicML030,What is the importance of Data Visualization?,Explain,"Data visualization is useful for data cleaning, exploring data structure, detecting outliers and unusual groups, identifying trends and clusters, spotting local patterns, evaluating modeling output, and presenting results. It is essential for exploratory data analysis and data mining to check data quality and to help analysts become familiar with the structure and features of the data before them.
"
BasicML031,What is the significance of Heatmap?,Explain,Heat Maps are graphical representations of data that utilize color-coded systems. The primary purpose of Heat Maps is to better visualize the volume of locations or events within a dataset and assist in directing viewers towards areas on data visulaizations that matter most.
BasicML032,What is the significance of unique() method in Pandas library?,Explain,unique() method of pandas library returns unique values based on a hash table. Uniques are returned in order of appearance. This does not sort. pandas unique() is significantly faster than numpy.unique().
BasicML033,Write about Mean Absolute Error (MAE),Define,Absolute error refers to the magnitude of difference between the prediction of an observation and the true value of that observation. MAE takes the average of absolute errors for a group of predictions and observations as a measurement of the magnitude of errors for the entire group.
BasicML034,Write about Boxplot.,Explain,"A boxplot is a graph that gives a good indication of how the values in the data are spread out. Boxplots are a standardized way of displaying the distribution of data based on a five number summary (minimum - first quartile (Q1), median - third quartile (Q3), and maximum."
BasicML035,List down some evaluation metrics for regression problems.,Remember,"The commonly used metrics for evaluating the performance of a regression model are Mean Squred Error (MSE), Root Mean Squared Error (RMSE), Mean Absolute Error(MAE)."
BasicML037,What are the different plots used for doing Univariate analysis on categorical data?,Remember,"Univariate plotting can be done through Bar Chart, Line Chart, Area chart, Histogram."
BasicML038,What are the five steps of the data analysis process?,Remember,"The steps that are implemented in the data analysis process are 
1. Determining the objective
2. Data Collection
3. Data Cleaning
4. Interpreting the data
5. Sharing the results"
BasicML039,What is meant by mode?,Define,"The mode is the value that appears most frequently in the dataset. A set of data may have one mode, more than one mode or no mode at all."
BasicML040,Does Seaborn need Matplotlib?,Explain,Yes. Seaborn is also a Python library used for plotting graphs with the help of matplotlib.
BasicML041,Write about Mean Squared Error (MSE)?,Define,The Mean Squared Error measures the average of error squares. Simply it is the average squared difference between the predicted and the true value.
BasicML042,List down some evaluation metrics for classification problems.,Remember,"The performance of classification models is evaluated by using Accuracy, Precision, Recall, F1 score, Log loss or Binary crossentropy, categorical crossentropy, AUC."
BasicML043,List steps to create a 1D array in NumPy library?,Explain,"One dimensional array contains elements only in one dimension. In other words, the shape of the numpy array should contain only one value in the tuple.
To create a one dimensional array in Numpy, you can use either of the array(), arange() or linspace() numpy functions."
BasicML044,What are the different plots used for doing Univariate analysis on quantitative data?,Remember,"Scatter Plot, Line Plot, Strip plot, Swarm Plot, Bar Chart, Pie chart"
BasicML045,Write about Histogram.,Explain,A histogram is basically used to represent data provided in a form of some groups.It is accurate method for the graphical representation of numerical data distribution.It is a type of bar plot where X-axis represents the bin ranges while Y-axis gives information about frequency.
BasicML046,write about isnull() method.,Explain,isnull() method is used to check and manage NULL values in a dataframe.
BasicML047,Write about Nominal data?,Explain,"Nominal data is data that can be labelled or classified into mutually exclusive categories within a variable. These categories cannot be ordered in a meaningful way. For example, for the nominal variable of preferred mode of transportation, you may have the categories of car, bus, train, tram or bicycle."
BasicML049,Write about train_test_split() method.,Explain,train_test_split() is a method of sklearn model selection. It is used to split the data into two subsets- training data and testing data.
